Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2026-01-01,Opening Balance,REF0001,0.00,250000.00,250000.00,Opening Balance,DEPOSIT
2026-01-02,Patient Payment - OPD,REF0002,0.00,15000.00,265000.00,Patient Payments,DEPOSIT
2026-01-03,Insurance Reimbursement - Jubilee,REF0003,0.00,22000.00,287000.00,Insurance Reimbursements,DEPOSIT
2026-01-04,Salary Payments - Staff,REF0004,50000.00,0.00,237000.00,Salaries,WITHDRAWAL
2026-01-05,Pharmacy Sales,REF0005,0.00,8000.00,245000.00,Pharmacy Sales,DEPOSIT
2026-01-06,Medical Supplies Purchase,REF0006,12000.00,0.00,233000.00,Medical Supplies,WITHDRAWAL
2026-01-07,Lab Revenue,REF0007,0.00,17500.00,250500.00,Lab Revenue,DEPOSIT
2026-01-08,Utility Bill - Electricity,REF0008,3000.00,0.00,247500.00,Utilities,WITHDRAWAL
2026-01-09,Maintenance - Equipment,REF0009,4500.00,0.00,243000.00,Maintenance,WITHDRAWAL
2026-01-10,Patient Payment - OPD,REF0010,0.00,11000.00,254000.00,Patient Payments,DEPOSIT
