Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2023-01-01,Lab Revenue - Chemistry Analysis,ACH1000000,,2666.95,252666.95,Lab Revenue,DEPOSIT
2023-01-03,Patient Payment - Physical Therapy,TXN1000001,,1261.22,253928.17,Patient Revenue,DEPOSIT
2023-01-04,Patient Payment - Dr. Smith Consultation,DEP1000002,,2237.02,256165.19,Patient Revenue,DEPOSIT
2023-01-05,Transfer - Operating to Savings,DEP1000003,,11787.10,267952.29,Transfer,TRANSFER
2023-01-07,Software Subscription - Data Backup,ACH1000004,982.64,,266969.65,Software Expense,WITHDRAWAL
2023-01-08,Insurance Reimbursement - Aetna,DEP1000005,,7118.70,274088.35,Insurance Revenue,DEPOSIT
2023-01-09,Lab Revenue - COVID-19 Testing,ACH1000006,,1628.56,275716.91,Lab Revenue,DEPOSIT
2023-01-10,Medical Supplies - Diagnostic Equipment,CHK1000007,7610.31,,268106.60,Medical Supplies,WITHDRAWAL
2023-01-12,Medical Supplies - Catheter Kits,ACH1000008,3528.58,,264578.02,Medical Supplies,WITHDRAWAL
2023-01-13,Lab Revenue - Pathology Services,CHK1000009,,2250.19,266828.21,Lab Revenue,DEPOSIT
2023-01-15,Lab Revenue - Microbiology Testing,DEP1000010,,2273.95,269102.16,Lab Revenue,DEPOSIT
2023-01-16,Utility Payment - Natural Gas,ACH1000011,2031.63,,267070.53,Utilities,WITHDRAWAL
2023-01-19,Staff Payroll - Administrative,REF1000012,6295.17,,260775.36,Salary Expense,WITHDRAWAL
2023-01-20,Bank Fee - ACH Processing,INV1000013,46.66,,260728.70,Bank Fees,WITHDRAWAL
2023-01-21,Insurance Reimbursement - Dental Benefits,TXN1000014,,1668.38,262397.08,Insurance Revenue,DEPOSIT
2023-01-22,Insurance Reimbursement - Humana,EFT1000015,,10562.27,272959.35,Insurance Revenue,DEPOSIT
2023-01-23,Insurance Reimbursement - Aetna,INV1000016,,6515.58,279474.93,Insurance Revenue,DEPOSIT
2023-01-24,Staff Payroll - Security,TXN1000017,7989.29,,271485.64,Salary Expense,WITHDRAWAL
2023-01-26,Lab Revenue - Chemistry Analysis,ACH1000018,,2721.65,274207.29,Lab Revenue,DEPOSIT
2023-01-28,Software Subscription - EHR System,DEP1000019,1727.79,,272479.50,Software Expense,WITHDRAWAL
2023-01-31,Medical Supplies - Oxygen Supplies,INV1000020,3920.44,,268559.06,Medical Supplies,WITHDRAWAL
2023-02-02,Insurance Reimbursement - Humana,DEP1000021,,12875.00,281434.06,Insurance Revenue,DEPOSIT
2023-02-05,Lab Revenue - Genetic Testing,ACH1000022,,2261.48,283695.54,Lab Revenue,DEPOSIT
2023-02-07,Medical Supplies - Surgical Instruments,INV1000023,4008.19,,279687.35,Medical Supplies,WITHDRAWAL
2023-02-08,Lab Revenue - Chemistry Analysis,INV1000024,,159.90,279847.25,Lab Revenue,DEPOSIT
2023-02-10,Maintenance - Building Inspection,EFT1000025,2454.98,,277392.27,Maintenance,WITHDRAWAL
2023-02-13,Patient Payment - Vaccination Services,ACH1000026,,2302.88,279695.15,Patient Revenue,DEPOSIT
2023-02-14,Staff Payroll - Doctors,ACH1000027,13883.15,,265812.00,Salary Expense,WITHDRAWAL
2023-02-15,Monthly Rent - Building,CHK1000028,5251.84,,260560.16,Rent Expense,WITHDRAWAL
2023-02-16,Patient Payment - Vaccination Services,INV1000029,,495.24,261055.40,Patient Revenue,DEPOSIT
2023-02-17,Pharmacy Sales - Compounded Medications,INV1000030,,1137.14,262192.54,Pharmacy Revenue,DEPOSIT
2023-02-18,Insurance Reimbursement - Humana,DEP1000031,,4534.72,266727.26,Insurance Revenue,DEPOSIT
2023-02-21,Lab Revenue - Microbiology Testing,CHK1000032,,2517.11,269244.37,Lab Revenue,DEPOSIT
2023-02-22,Patient Payment - Outpatient Treatment,INV1000033,,177.61,269421.98,Patient Revenue,DEPOSIT
2023-02-25,Insurance Reimbursement - Aetna,EFT1000034,,11827.88,281249.86,Insurance Revenue,DEPOSIT
2023-02-27,Patient Payment - Dr. Smith Consultation,TXN1000035,,2376.55,283626.41,Patient Revenue,DEPOSIT
2023-02-28,Patient Payment - Dental Services,TXN1000036,,423.34,284049.75,Patient Revenue,DEPOSIT
2023-03-01,Lab Revenue - COVID-19 Testing,TXN1000037,,409.59,284459.34,Lab Revenue,DEPOSIT
2023-03-02,Lab Revenue - COVID-19 Testing,INV1000038,,824.51,285283.85,Lab Revenue,DEPOSIT
2023-03-04,Patient Payment - Dental Services,EFT1000039,,1537.76,286821.61,Patient Revenue,DEPOSIT
2023-03-05,Bank Fee - Monthly Maintenance,TXN1000040,120.00,,286701.61,Bank Fees,WITHDRAWAL
2023-03-07,Insurance Reimbursement - Aetna,INV1000041,,8890.93,295592.54,Insurance Revenue,DEPOSIT
2023-03-09,Medical Supplies - Oxygen Supplies,EFT1000042,3293.90,,292298.64,Medical Supplies,WITHDRAWAL
2023-03-11,Insurance Reimbursement - Aetna,DEP1000043,,9085.42,301384.06,Insurance Revenue,DEPOSIT
2023-03-12,Medical Supplies - Surgical Instruments,DEP1000044,994.83,,300389.23,Medical Supplies,WITHDRAWAL
2023-03-13,Insurance Reimbursement - Vision Benefits,DEP1000045,,12180.16,312569.39,Insurance Revenue,DEPOSIT
2023-03-14,Monthly Rent - Building,CHK1000046,6041.61,,306527.78,Rent Expense,WITHDRAWAL
2023-03-15,Maintenance - Electrical Repairs,EFT1000047,486.18,,306041.60,Maintenance,WITHDRAWAL
2023-03-16,Insurance Reimbursement - Blue Cross,DEP1000048,,12818.85,318860.45,Insurance Revenue,DEPOSIT
2023-03-17,Staff Payroll - Nurses,INV1000049,8202.28,,310658.17,Salary Expense,WITHDRAWAL
2023-03-18,Utility Payment - Internet & Phone,CHK1000050,1914.62,,308743.55,Utilities,WITHDRAWAL
2023-03-19,Patient Payment - Outpatient Treatment,INV1000051,,2415.41,311158.96,Patient Revenue,DEPOSIT
2023-03-21,Medical Supplies - Catheter Kits,CHK1000052,6242.20,,304916.76,Medical Supplies,WITHDRAWAL
2023-03-22,Lab Revenue - COVID-19 Testing,INV1000053,,1807.99,306724.75,Lab Revenue,DEPOSIT
